Project:,Project69,,,,,,,,,,
,,,,,,,,,,,
Test:,Test_r1,,,,,,,,,,
,,,,,,,,,,,
Result:,Stress Relaxation Initial,,,,,,,,,,
,,,,,,,,,,,
Interval and data points:,1,500,,,,,,,,,
Interval data:,Point No.,Time,Shear Strain,Complex Viscosity,Shear Stress,Storage Modulus,Loss Modulus,Loss Factor,Torque,Frequency,Status
,,,,Fundamental,,,,,,,
,,[s],[1],[mPa·s],[Pa],[Pa],[Pa],[1],[µN·m],[Hz],
,1,0.1,0.0493,,-373.4,,,,-37.51,,Dy_auto
,2,0.201,0.05,,32.049,,,,3.2195,,Dy_auto
,3,0.302,0.05,,30.52,,,,3.0659,,Dy_auto
,4,0.403,0.05,,28.442,,,,2.8571,,Dy_auto
,5,0.505,0.05,,21.542,,,,2.1641,,Dy_auto
,6,0.607,0.05,,42.437,,,,4.2631,,Dy_auto
,7,0.71,0.05,,25.697,,,,2.5814,,Dy_auto
,8,0.814,0.05,,35.186,,,,3.5346,,Dy_auto
,9,0.917,0.05,,23.956,,,,2.4065,,Dy_auto
,10,1.022,0.05,,29.709,,,,2.9845,,Dy_auto
,11,1.126,0.05,,27.118,,,,2.7241,,Dy_auto
,12,1.231,0.05,,38.714,,,,3.889,,Dy_auto
,13,1.337,0.05,,27.503,,,,2.7628,,Dy_auto
,14,1.443,0.05,,21.482,,,,2.1579,,Dy_auto
,15,1.55,0.05,,29.335,,,,2.9469,,Dy_auto
,16,1.657,0.05,,31.471,,,,3.1614,,Dy_auto
,17,1.765,0.05,,34.119,,,,3.4275,,Dy_auto
,18,1.873,0.05,,30.601,,,,3.074,,Dy_auto
,19,1.982,0.05,,26.211,,,,2.633,,Dy_auto
,20,2.091,0.05,,28.449,,,,2.8578,,Dy_auto
,21,2.201,0.05,,20.485,,,,2.0578,,Dy_auto
,22,2.311,0.05,,25.433,,,,2.5549,,Dy_auto
,23,2.421,0.05,,29.454,,,,2.9588,,Dy_auto
,24,2.533,0.05,,33.889,,,,3.4043,,Dy_auto
,25,2.644,0.05,,30.685,,,,3.0825,,Dy_auto
,26,2.757,0.05,,25.178,,,,2.5292,,Dy_auto
,27,2.869,0.05,,27.277,,,,2.7401,,Dy_auto
,28,2.983,0.05,,31.477,,,,3.1621,,Dy_auto
,29,3.096,0.05,,24.699,,,,2.4811,,Dy_auto
,30,3.211,0.05,,26.368,,,,2.6488,,Dy_auto
,31,3.325,0.05,,24.627,,,,2.474,,Dy_auto
,32,3.441,0.05,,26.272,,,,2.6392,,Dy_auto
,33,3.557,0.05,,29.715,,,,2.985,,Dy_auto
,34,3.673,0.05,,24.885,,,,2.4999,,Dy_auto
,35,3.79,0.05,,28.091,,,,2.8219,,Dy_auto
,36,3.908,0.05,,31.27,,,,3.1413,,Dy_auto
,37,4.026,0.05,,22.635,,,,2.2738,,Dy_auto
,38,4.144,0.05,,24.9,,,,2.5013,,Dy_auto
,39,4.264,0.05,,25.386,,,,2.5502,,Dy_auto
,40,4.383,0.05,,28.358,,,,2.8487,,Dy_auto
,41,4.504,0.05,,26.957,,,,2.708,,Dy_auto
,42,4.624,0.05,,28.879,,,,2.9011,,Dy_auto
,43,4.746,0.05,,26.658,,,,2.678,,Dy_auto
,44,4.868,0.05,,22.711,,,,2.2814,,Dy_auto
,45,4.99,0.05,,24.183,,,,2.4294,,Dy_auto
,46,5.113,0.05,,25.302,,,,2.5417,,Dy_auto
,47,5.237,0.05,,28.237,,,,2.8365,,Dy_auto
,48,5.361,0.05,,31.763,,,,3.1908,,Dy_auto
,49,5.486,0.05,,28.79,,,,2.8921,,Dy_auto
,50,5.611,0.05,,31.543,,,,3.1686,,Dy_auto
,51,5.737,0.05,,27.466,,,,2.7591,,Dy_auto
,52,5.864,0.05,,22.804,,,,2.2908,,Dy_auto
,53,5.991,0.05,,28.534,,,,2.8664,,Dy_auto
,54,6.119,0.05,,28.031,,,,2.8159,,Dy_auto
,55,6.247,0.05,,29.145,,,,2.9278,,Dy_auto
,56,6.376,0.05,,27.454,,,,2.7579,,Dy_auto
,57,6.505,0.05,,25.051,,,,2.5165,,Dy_auto
,58,6.635,0.05,,26.229,,,,2.6348,,Dy_auto
,59,6.766,0.05,,31.485,,,,3.1629,,Dy_auto
,60,6.897,0.05,,24.642,,,,2.4754,,Dy_auto
,61,7.029,0.05,,30.903,,,,3.1044,,Dy_auto
,62,7.162,0.05,,27.973,,,,2.8101,,Dy_auto
,63,7.295,0.05,,32.295,,,,3.2442,,Dy_auto
,64,7.429,0.05,,27.125,,,,2.7249,,Dy_auto
,65,7.563,0.05,,28.052,,,,2.818,,Dy_auto
,66,7.698,0.05,,26.837,,,,2.6959,,Dy_auto
,67,7.834,0.05,,25.44,,,,2.5556,,Dy_auto
,68,7.97,0.05,,24.967,,,,2.5081,,Dy_auto
,69,8.107,0.05,,26.426,,,,2.6546,,Dy_auto
,70,8.244,0.05,,27.078,,,,2.7202,,Dy_auto
,71,8.382,0.05,,27.601,,,,2.7727,,Dy_auto
,72,8.521,0.05,,23.882,,,,2.3991,,Dy_auto
,73,8.66,0.05,,23.335,,,,2.3441,,Dy_auto
,74,8.801,0.05,,25.019,,,,2.5133,,Dy_auto
,75,8.941,0.05,,25.667,,,,2.5784,,Dy_auto
,76,9.083,0.05,,24.34,,,,2.4451,,Dy_auto
,77,9.225,0.05,,26.852,,,,2.6974,,Dy_auto
,78,9.367,0.05,,26.756,,,,2.6877,,Dy_auto
,79,9.511,0.05,,25.443,,,,2.5559,,Dy_auto
,80,9.655,0.05,,30.13,,,,3.0267,,Dy_auto
,81,9.799,0.05,,25.258,,,,2.5373,,Dy_auto
,82,9.945,0.05,,24.29,,,,2.4401,,Dy_auto
,83,10.09,0.05,,25.805,,,,2.5922,,Dy_auto
,84,10.24,0.05,,26.429,,,,2.6549,,Dy_auto
,85,10.39,0.05,,25.844,,,,2.5961,,Dy_auto
,86,10.53,0.05,,28.868,,,,2.8999,,Dy_auto
,87,10.68,0.05,,24.982,,,,2.5096,,Dy_auto
,88,10.83,0.05,,25.381,,,,2.5497,,Dy_auto
,89,10.98,0.05,,27.478,,,,2.7603,,Dy_auto
,90,11.13,0.05,,27.608,,,,2.7734,,Dy_auto
,91,11.28,0.05,,25.486,,,,2.5602,,Dy_auto
,92,11.44,0.05,,25.472,,,,2.5588,,Dy_auto
,93,11.59,0.05,,30.027,,,,3.0164,,Dy_auto
,94,11.74,0.05,,27.574,,,,2.7699,,Dy_auto
,95,11.9,0.05,,27.846,,,,2.7973,,Dy_auto
,96,12.05,0.05,,23.058,,,,2.3163,,Dy_auto
,97,12.21,0.05,,28.668,,,,2.8798,,Dy_auto
,98,12.36,0.05,,24.468,,,,2.4579,,Dy_auto
,99,12.52,0.05,,26.797,,,,2.6919,,Dy_auto
,100,12.68,0.05,,28.168,,,,2.8296,,Dy_auto
,101,12.84,0.05,,26.869,,,,2.6991,,Dy_auto
,102,13,0.05,,26.393,,,,2.6513,,Dy_auto
,103,13.16,0.05,,24.059,,,,2.4168,,Dy_auto
,104,13.32,0.05,,26.316,,,,2.6435,,Dy_auto
,105,13.48,0.05,,28.652,,,,2.8783,,Dy_auto
,106,13.64,0.05,,29.081,,,,2.9214,,Dy_auto
,107,13.8,0.05,,22.444,,,,2.2547,,Dy_auto
,108,13.97,0.05,,29.6,,,,2.9735,,Dy_auto
,109,14.13,0.05,,24.8,,,,2.4913,,Dy_auto
,110,14.3,0.05,,24.416,,,,2.4527,,Dy_auto
,111,14.46,0.05,,14.21,,,,1.4275,,Dy_auto
,112,14.63,0.05,,16.934,,,,1.7011,,Dy_auto
,113,14.8,0.05,,32.385,,,,3.2533,,Dy_auto
