Project:,jg_gelma_fibers_recovery_osc,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Test:,85um_fibers_r2,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Result:,Pre-UV recovery,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Interval and data points:,1,38,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Shear Stress,Shear Strain
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa],[%]
,1,0.1,14.57,23.36,3.8186E+06,8.821E+06,2.31,1.5298E+09,0.8,0.01,2.0589,"WMa,TruStrain™",83.886,0.000873
,2,0.207,14.67,23.36,4.8358E+05,2.1779E+06,4.5,3.5507E+08,0.8,0.01,5.7237,"WMa,TruStrain™",233.21,0.0105
,3,0.32,14.78,23.36,6.5869E+05,1.648E+06,2.5,2.8247E+08,0.8,0.01,8.1998,"WMa,TruStrain™",334.09,0.0188
,4,0.441,14.91,23.36,8.9172E+05,1.2162E+06,1.36,2.4002E+08,0.8,0.01,10.878,"WMa,TruStrain™",443.19,0.0294
,5,0.569,15.03,23.36,9.9078E+05,7.2095E+05,0.728,1.9502E+08,0.8,0.01,12.476,"WMa,TruStrain™",508.31,0.0415
,6,0.705,15.17,23.36,8.2659E+05,2.7423E+05,0.332,1.3861E+08,0.8,0.01,12.301,"WMa,TruStrain™",501.17,0.0575
,7,0.851,15.32,23.36,5.7068E+05,83766,0.147,9.1799E+07,0.8,0.01,10.684,"WMa,TruStrain™",435.31,0.0755
,8,1.005,15.47,23.36,3.9391E+05,56694,0.144,6.3339E+07,0.8,0.01,9.0211,"WMa,TruStrain™",367.55,0.0924
,9,1.17,15.64,23.36,2.5638E+05,72931,0.284,4.2424E+07,0.8,0.01,7.0673,"MV-,WMa,TruStrain™",287.95,0.108
,10,1.345,15.81,23.36,93470,2.0107E+05,2.15,3.529E+07,0.8,0.01,5.9695,"MV-,WMa,TruStrain™",243.22,0.11
,11,1.531,16,23.35,10.414,2.0828E+05,2E+04,3.3149E+07,0.8,0.01,5.6784,"ME-,MV-,WMa,taD,TruStrain™",231.36,0.111
,12,1.73,16.2,23.35,1.6835E+05,8.4176,5E-05,2.6794E+07,0.8,0.01,4.5566,"ME-,MV-,WMa,taD,TruStrain™",185.65,0.11
,13,1.941,16.41,23.36,99703,4.9852,5E-05,1.5868E+07,0.8,0.01,2.5941,"ME-,MV-,WMa,taD,TruStrain™",105.69,0.106
,14,2.165,16.63,23.36,0.95445,19089,2E+04,3.0381E+06,0.8,0.01,0.47274,"ME-,WMa,taD,TruStrain™",19.261,0.101
,15,2.404,16.87,23.36,11134,1293.9,0.116,1.784E+06,0.8,0.01,0.27518,"MV-,WMa,TruStrain™",11.212,0.1
,16,2.658,17.12,23.36,12839,1478.3,0.115,2.057E+06,0.8,0.01,0.31722,"MV-,WMa,TruStrain™",12.925,0.1
,17,2.929,17.39,23.36,12669,2127.9,0.168,2.0446E+06,0.8,0.01,0.31532,"MV-,WMa,TruStrain™",12.847,0.1
,18,3.217,17.68,23.36,12756,519.53,0.0407,2.0319E+06,0.8,0.01,0.31341,"MV-,WMa,TruStrain™",12.769,0.1
,19,3.524,17.99,23.36,12311,1447.9,0.118,1.9729E+06,0.8,0.01,0.30443,"WMa,TruStrain™",12.403,0.1
,20,3.85,18.32,23.36,12545,2101.1,0.167,2.0245E+06,0.8,0.01,0.31261,"WMa,TruStrain™",12.737,0.1
,21,4.197,18.66,23.36,13817,1788,0.129,2.2173E+06,0.8,0.01,0.3427,"WMa,TruStrain™",13.963,0.1
,22,4.567,19.03,23.36,12610,736.89,0.0584,2.0103E+06,0.8,0.01,0.31095,"WMa,TruStrain™",12.669,0.1
,23,4.96,19.43,23.36,12183,901.41,0.074,1.9443E+06,0.8,0.01,0.30091,"WMa,TruStrain™",12.26,0.1
,24,5.378,19.84,23.36,12207,846.37,0.0693,1.9474E+06,0.8,0.01,0.30155,"WMa,TruStrain™",12.286,0.1
,25,5.823,20.29,23.36,12305,1029.9,0.0837,1.9652E+06,0.8,0.01,0.30441,"WMa,TruStrain™",12.403,0.1
,26,6.297,20.76,23.36,12625,865.09,0.0685,2.014E+06,0.8,0.01,0.31199,"WMa,TruStrain™",12.712,0.1
,27,6.802,21.27,23.36,12620,541.3,0.0429,2.0105E+06,0.8,0.01,0.31148,"WMa,TruStrain™",12.691,0.1
,28,7.338,21.8,23.36,12343,805.3,0.0652,1.9687E+06,0.8,0.01,0.30505,"WMa,TruStrain™",12.429,0.1
,29,7.91,22.38,23.36,12564,957.21,0.0762,2.0054E+06,0.8,0.01,0.31077,"WMa,TruStrain™",12.662,0.1
,30,8.517,22.98,23.36,12780,937.47,0.0734,2.0394E+06,0.8,0.01,0.31605,"WMa,TruStrain™",12.877,0.1
,31,9.164,23.63,23.36,12964,832.8,0.0642,2.0676E+06,0.8,0.01,0.32044,"WMa,TruStrain™",13.056,0.1
,32,9.853,24.32,23.36,12767,188.42,0.0148,2.0322E+06,0.8,0.01,0.31496,"WMa,TruStrain™",12.833,0.101
,33,10.585,25.05,23.36,12528,756.18,0.0604,1.9975E+06,0.8,0.01,0.30958,"WMa,TruStrain™",12.613,0.101
,34,11.365,25.83,23.36,12436,569.4,0.0458,1.9814E+06,0.8,0.01,0.30709,"WMa,TruStrain™",12.512,0.101
,35,12.195,26.66,23.36,12801,886.87,0.0693,2.0422E+06,0.8,0.01,0.3165,"WMa,TruStrain™",12.895,0.1
,36,13.078,27.54,23.36,12572,258.57,0.0206,2.0014E+06,0.8,0.01,0.31019,"WMa,TruStrain™",12.638,0.101
,37,14.017,28.48,23.36,11240,1773,0.158,1.811E+06,0.8,0.01,0.28075,"WMa,TruStrain™",11.439,0.101
,38,15.017,29.48,23.36,13356,103.68,0.00776,2.1257E+06,0.8,0.01,0.32936,"WMa,TruStrain™",13.419,0.1
,,,,,,,,,,,,,,
Interval and data points:,2,38,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Shear Stress,Shear Strain
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa],[%]
,1,15.119,29.58,23.36,9.5342E+06,1.2746E+06,0.134,1.5309E+09,0.8,0.04,2309,"WMa,TruStrain™",94078,0.978
